                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1045,                 3.5838,                 4.2435,                0.00335,                0.16653,                0.00232,                0.00056,                 3.9382,                 3.5574,                 4.1583,              0.0032804,              0.0032804,              0.0032804
                      2,                 3.7979,                 3.1608,                 4.0389,                0.00696,                 0.3189,                0.00944,                0.00204,                 3.6229,                 3.4134,                 3.9006,              0.0066072,              0.0066072,              0.0066072
                      3,                  3.184,                 2.8212,                 3.4861,                0.15515,                0.14405,                0.06882,                0.01804,                 2.9042,                 2.8771,                 3.3645,              0.0099274,              0.0099274,              0.0099274
                      4,                 2.7682,                 2.5763,                 3.0482,                0.01403,                0.04996,                0.00818,                0.00223,                 3.2333,                 3.8064,                 3.9716,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.5138,                 2.3831,                 2.7848,                 0.1921,                0.25479,                0.12727,                0.03956,                 2.5375,                 3.1416,                 2.9109,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.3598,                 2.2382,                  2.562,                0.20365,                0.26228,                0.15254,                0.05574,                 2.3725,                 3.3043,                 2.6622,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.2375,                 2.1309,                  2.439,                0.32356,                0.32973,                0.24434,                0.08332,                 2.2135,                 2.4325,                 2.5466,              0.0099505,              0.0099505,              0.0099505
                      8,                 2.1293,                 2.0554,                 2.3322,                0.32751,                0.39467,                0.28134,                0.10847,                 2.1517,                 2.4798,                 2.4941,              0.0099406,              0.0099406,              0.0099406
                      9,                 2.0446,                 1.9582,                 2.2473,                0.45329,                0.41049,                0.38346,                0.15874,                 2.0236,                 2.0403,                 2.3258,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.9986,                 1.9086,                 2.2051,                0.35539,                0.37386,                 0.2921,                0.11405,                 2.1386,                 2.4383,                 2.4052,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.9366,                  1.867,                 2.1451,                0.43963,                0.39883,                 0.3717,                0.16127,                  1.918,                 2.0207,                 2.2137,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.8936,                 1.8172,                 2.0869,                0.45186,                0.39967,                0.40327,                0.17894,                 1.8916,                 1.9425,                 2.1763,               0.009901,               0.009901,               0.009901
                     13,                 1.8467,                 1.7778,                 2.0353,                 0.4894,                0.42215,                0.42129,                0.17753,                 1.9028,                 1.9289,                 2.2372,              0.0098911,              0.0098911,              0.0098911
