                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1396,                 3.7019,                 4.2152,                0.00237,                0.11157,                0.00413,                 0.0007,                 3.9518,                 3.7321,                 4.1582,              0.0032804,              0.0032804,              0.0032804
                      2,                 4.1148,                 3.6459,                 4.1917,                0.00276,                0.13739,                0.00198,                0.00049,                 3.9353,                 3.5795,                 4.1498,              0.0066072,              0.0066072,              0.0066072
                      3,                 4.0834,                 3.3422,                 4.1016,                0.00295,                0.14654,                0.00173,                0.00048,                  3.905,                    inf,                 8.7873,              0.0099274,              0.0099274,              0.0099274
                      4,                 3.8883,                 3.1081,                 3.7496,                0.00366,                0.08243,                0.00205,                0.00055,                 3.9427,                    inf,                 5.0521,              0.0099703,              0.0099703,              0.0099703
                      5,                 3.6494,                 2.9999,                 3.4578,                 0.0027,                0.09492,                0.00278,                0.00068,                 3.8104,                 3.6687,                 4.1177,              0.0099703,              0.0099703,              0.0099703
                      6,                 3.0932,                  2.823,                 3.1688,                0.10449,                0.12073,                0.04991,                0.01447,                 2.8753,                 2.9112,                 3.1431,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.6532,                 2.5942,                 2.8046,                0.11711,                0.15487,                0.05885,                0.01725,                  2.627,                 2.9056,                 2.8441,              0.0099505,              0.0099505,              0.0099505
                      8,                 2.4012,                 2.3507,                 2.5352,                0.23678,                0.27311,                0.14256,                0.04896,                 2.4002,                 2.5617,                 2.6432,              0.0099406,              0.0099406,              0.0099406
                      9,                 2.2542,                 2.2257,                 2.3874,                0.20614,                0.24021,                0.12966,                  0.042,                 2.3708,                 2.7994,                 2.6376,              0.0099307,              0.0099307,              0.0099307
                     10,                   2.16,                 2.1151,                 2.2756,                0.34454,                0.33555,                0.26649,                0.10104,                 2.1357,                 2.3559,                 2.3632,              0.0099208,              0.0099208,              0.0099208
                     11,                 2.0913,                 2.0476,                 2.1929,                0.42244,                  0.403,                0.36571,                0.15992,                 2.0179,                 2.0435,                 2.2146,              0.0099109,              0.0099109,              0.0099109
                     12,                 2.0132,                 1.9758,                 2.0955,                 0.3339,                0.33639,                0.25948,                0.10463,                 2.1346,                 2.3275,                 2.2977,               0.009901,               0.009901,               0.009901
                     13,                 1.9664,                 1.9118,                 2.0307,                0.38294,                0.35861,                0.31911,                0.12992,                 2.0973,                 2.1403,                 2.2487,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.9024,                 1.8633,                 1.9678,                0.36704,                  0.398,                0.33665,                0.14312,                 1.9854,                 2.0841,                  2.136,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.8867,                 1.8397,                 1.9476,                0.38262,                0.39967,                0.35159,                0.15707,                 1.9041,                 2.1953,                 2.0457,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.8354,                 1.7893,                 1.8813,                0.49924,                0.42132,                0.43634,                0.20138,                 1.8241,                 1.8898,                 1.9384,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.8009,                 1.7435,                 1.8483,                0.49776,                0.47211,                0.44737,                0.20158,                 1.8115,                 1.9152,                 1.9566,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.7606,                 1.7228,                 1.8046,                 0.4448,                0.44879,                0.40312,                0.18495,                 1.8646,                 1.9764,                 1.9728,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.7478,                 1.6888,                 1.7913,                0.51951,                0.47544,                0.47502,                0.22911,                 1.7629,                 1.7585,                 1.8702,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.7261,                 1.6578,                  1.766,                 0.4968,                0.47294,                0.45676,                0.22505,                 1.7467,                  1.811,                 1.8785,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.7123,                 1.6397,                 1.7366,                0.50913,                0.41885,                0.43514,                0.20655,                 1.7736,                 1.8671,                 1.8918,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.6677,                  1.632,                 1.7245,                 0.5543,                0.52605,                0.53043,                0.26187,                 1.6609,                 1.7189,                 1.7797,               0.009802,               0.009802,               0.009802
                     23,                 1.6427,                 1.5999,                 1.6962,                0.57419,                0.52373,                0.53374,                0.27628,                 1.6447,                 1.6582,                 1.7515,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.6332,                 1.5636,                 1.6732,                0.56152,                0.48089,                 0.5175,                0.26216,                 1.6426,                 1.6722,                 1.7813,              0.0097822,              0.0097822,              0.0097822
