                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6135,                 1.5602,                 1.8489,                0.51535,                0.56869,                0.53216,                 0.2775,                 1.6061,                 1.6587,                 1.9509,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.6076,                 1.5275,                 1.8263,                0.52947,                0.52873,                0.53472,                0.28463,                 1.6473,                 1.6273,                 1.9644,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.6095,                  1.552,                 1.8329,                0.54681,                0.53872,                0.54394,                0.29568,                 1.5786,                 1.5952,                 1.9086,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.6021,                 1.5373,                 1.8285,                0.51735,                0.51207,                0.51486,                0.27576,                 1.6026,                 1.6291,                  1.929,              0.0096436,              0.0096436,              0.0096436
                     38,                  1.591,                  1.502,                 1.8155,                0.52578,                0.50591,                 0.5223,                0.27383,                 1.6141,                 1.6552,                 1.9375,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.5901,                  1.519,                 1.8044,                 0.5629,                0.53206,                0.56027,                0.29763,                 1.5812,                 1.6058,                 1.9057,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.5961,                 1.5141,                 1.8142,                0.55725,                0.54179,                0.55445,                0.29244,                 1.5948,                 1.6413,                 1.9134,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.5733,                 1.5195,                 1.7858,                0.58405,                0.51676,                0.56725,                0.29341,                 1.6045,                 1.5487,                 1.9128,               0.009604,               0.009604,               0.009604
                     42,                 1.5493,                 1.4823,                  1.773,                 0.5658,                0.55287,                0.55929,                0.29762,                 1.5784,                 1.6166,                 1.8896,              0.0095941,              0.0095941,              0.0095941
                     43,                  1.559,                 1.4853,                 1.7828,                0.55619,                0.53705,                0.54334,                0.28229,                 1.6406,                 1.5991,                 1.9286,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.5636,                 1.4891,                 1.7622,                0.53636,                0.56349,                0.56296,                0.29502,                 1.5561,                 1.5701,                 1.8849,              0.0095743,              0.0095743,              0.0095743
