                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4774,                 1.3649,                 1.7322,                0.60637,                0.55371,                0.58291,                0.31523,                  1.544,                 1.4957,                 1.8893,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.4726,                 1.3428,                 1.7189,                 0.5518,                0.61116,                0.59084,                0.32273,                 1.5232,                 1.4875,                 1.8654,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.4578,                 1.3566,                 1.7104,                0.56267,                0.56286,                0.57777,                 0.3135,                 1.5465,                 1.5191,                 1.8866,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.4524,                 1.3456,                 1.7067,                0.55606,                0.59655,                0.59551,                0.32469,                 1.5353,                 1.4667,                 1.8896,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.4377,                  1.306,                 1.6936,                0.44922,                0.44047,                0.38885,                 0.1897,                 1.7482,                 1.9153,                 2.0836,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.4351,                 1.3247,                  1.693,                0.56072,                0.59284,                0.59695,                0.32773,                 1.5205,                 1.4598,                 1.8694,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.4366,                 1.3066,                 1.6945,                0.57699,                0.60533,                0.59928,                0.32309,                  1.518,                  1.487,                 1.8644,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.4234,                 1.3001,                 1.6704,                0.58595,                0.58118,                 0.5981,                 0.3331,                 1.5162,                  1.452,                 1.8387,               0.009604,               0.009604,               0.009604
                     42,                 1.4039,                 1.2778,                 1.6642,                0.63107,                0.57119,                0.63041,                 0.3453,                 1.5125,                 1.4195,                 1.8522,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.4052,                 1.2764,                 1.6629,                0.57308,                 0.6069,                0.59364,                0.31955,                 1.5342,                 1.4871,                 1.8626,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.4073,                 1.2569,                 1.6488,                0.57737,                0.60174,                0.61697,                0.34168,                 1.5136,                 1.4115,                 1.8586,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.3888,                 1.2604,                 1.6521,                0.52628,                0.56286,                 0.5529,                0.29135,                 1.6352,                 1.5659,                 1.9742,              0.0095644,              0.0095644,              0.0095644
