                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                   1.48,                 1.3696,                 1.7483,                0.58654,                0.56703,                 0.5732,                0.30442,                 1.5782,                 1.4828,                 1.9312,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.4779,                 1.3444,                 1.7331,                0.58469,                0.59117,                0.60648,                0.32817,                 1.5645,                 1.4609,                 1.9106,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.4668,                 1.3657,                 1.7348,                 0.5875,                0.58535,                0.59589,                0.32099,                  1.573,                 1.4566,                 1.9357,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.4648,                 1.3563,                 1.7332,                0.57847,                0.57952,                0.59959,                 0.3257,                 1.5425,                 1.4516,                 1.9051,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.4423,                 1.3172,                   1.72,                0.57163,                0.57036,                0.58056,                0.31919,                 1.5345,                 1.4426,                 1.8839,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.4441,                 1.3404,                 1.7108,                0.58572,                0.57801,                0.59259,                0.32037,                 1.5501,                 1.4628,                 1.8949,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.4507,                 1.3252,                 1.7181,                0.58056,                0.59867,                0.60176,                0.32462,                 1.5279,                 1.5001,                 1.8909,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.4328,                 1.3166,                 1.6977,                0.56422,                0.59534,                0.59971,                0.33963,                 1.5227,                 1.4573,                 1.8703,               0.009604,               0.009604,               0.009604
                     42,                 1.4145,                 1.3011,                 1.6882,                 0.6267,                0.57202,                0.61977,                0.34094,                 1.5091,                 1.4266,                 1.8605,              0.0095941,              0.0095941,              0.0095941
                     43,                  1.416,                 1.2882,                 1.6866,                0.60089,                0.60299,                0.61946,                0.34187,                 1.5092,                 1.4262,                 1.8618,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.4149,                 1.2947,                 1.6715,                0.59414,                0.59534,                0.61922,                0.33799,                 1.5389,                 1.4098,                 1.9072,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.4039,                 1.2949,                 1.6836,                0.58331,                0.60866,                0.62535,                0.34457,                 1.5096,                  1.427,                 1.8643,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.4135,                 1.2752,                 1.6804,                0.60964,                0.57606,                0.60892,                 0.3365,                 1.5175,                  1.416,                 1.8714,              0.0095545,              0.0095545,              0.0095545
                     47,                  1.397,                 1.2681,                 1.6695,                0.59661,                 0.5562,                0.60233,                0.31696,                 1.5699,                  1.495,                 1.9218,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.3989,                 1.2571,                 1.6513,                0.60656,                0.60332,                0.62938,                0.35199,                  1.481,                 1.3887,                 1.8347,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.3887,                 1.2619,                 1.6547,                0.59601,                0.57858,                0.59767,                0.33171,                 1.5268,                 1.4454,                 1.8852,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.3733,                 1.2429,                 1.6542,                0.64193,                0.59858,                0.65147,                0.36478,                 1.4713,                 1.3668,                 1.8299,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.3722,                 1.2361,                 1.6342,                0.61869,                0.59284,                0.62321,                0.34907,                 1.4885,                 1.3745,                 1.8467,               0.009505,               0.009505,               0.009505
                     52,                   1.38,                 1.2267,                 1.6416,                0.60174,                0.58285,                0.61922,                0.33888,                 1.5143,                 1.4235,                 1.8764,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.3615,                 1.2098,                  1.649,                0.60899,                0.62531,                0.63555,                0.35782,                 1.4808,                 1.3596,                 1.8464,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.3674,                 1.2112,                 1.6285,                0.63084,                0.58368,                0.63254,                 0.3512,                 1.5144,                 1.3878,                 1.8534,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.3505,                 1.2029,                 1.6235,                0.64563,                0.57493,                0.63925,                0.36066,                 1.4477,                 1.3552,                 1.8175,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.3344,                 1.2048,                  1.608,                0.64656,                0.58285,                0.62484,                0.34073,                 1.5081,                  1.375,                 1.8831,              0.0094555,              0.0094555,              0.0094555
                     57,                  1.348,                 1.2041,                 1.6338,                0.58551,                0.57987,                0.62323,                0.34635,                 1.5023,                 1.3891,                 1.8541,              0.0094456,              0.0094456,              0.0094456
                     58,                  1.355,                  1.207,                 1.6151,                0.61268,                0.59034,                0.62359,                0.34601,                 1.4997,                 1.3706,                 1.8476,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.3315,                 1.1795,                  1.596,                0.61895,                0.62614,                0.65471,                0.36699,                 1.4648,                 1.3197,                 1.8279,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.3265,                 1.1724,                 1.6092,                 0.6097,                0.58784,                0.63668,                0.35843,                 1.4873,                 1.3617,                 1.8475,              0.0094159,              0.0094159,              0.0094159
                     61,                  1.338,                 1.1761,                 1.6192,                0.62011,                0.60866,                0.63367,                0.35794,                 1.4781,                 1.3322,                 1.8346,               0.009406,               0.009406,               0.009406
                     62,                 1.3186,                 1.1696,                 1.5875,                0.59543,                 0.5882,                0.61811,                0.35024,                 1.5153,                 1.3752,                  1.873,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.3164,                 1.1539,                 1.5896,                0.65639,                0.61237,                0.65745,                0.37119,                 1.4819,                 1.3106,                 1.8409,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.3149,                 1.1633,                 1.5861,                0.64287,                0.61782,                 0.6612,                0.36743,                 1.4834,                 1.3166,                  1.827,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.3218,                 1.1574,                 1.5898,                0.65969,                0.61173,                0.65343,                 0.3685,                 1.4515,                  1.322,                  1.822,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.3185,                 1.1626,                 1.5917,                0.63151,                0.58368,                 0.6301,                0.35345,                 1.4618,                  1.347,                  1.829,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.2933,                 1.1342,                 1.5694,                0.60653,                0.63277,                0.64707,                0.35786,                 1.4892,                 1.3202,                 1.8472,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.2926,                 1.1209,                  1.577,                 0.6078,                0.62195,                0.64623,                 0.3617,                 1.4681,                 1.3149,                 1.8297,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.2891,                 1.1103,                 1.5581,                  0.622,                0.63846,                0.66015,                0.37321,                 1.4769,                 1.2892,                 1.8263,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.2958,                 1.1107,                 1.5658,                0.64497,                0.61615,                0.65953,                0.37564,                 1.4663,                 1.2722,                 1.8297,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.2983,                  1.122,                 1.5774,                0.62217,                0.62198,                0.64837,                0.36525,                 1.4494,                 1.3017,                 1.8097,               0.009307,               0.009307,               0.009307
                     72,                 1.2685,                 1.1016,                 1.5489,                0.63637,                 0.5945,                0.64137,                0.36514,                 1.4737,                 1.2992,                 1.8496,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.2806,                  1.099,                  1.545,                0.66141,                0.61481,                 0.6483,                0.35581,                 1.4891,                 1.3071,                 1.8396,              0.0092872,              0.0092872,              0.0092872
                     74,                  1.283,                 1.0897,                 1.5563,                0.63785,                0.60783,                 0.6599,                 0.3692,                 1.4767,                 1.2815,                 1.8403,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.2659,                 1.0858,                 1.5454,                0.62933,                0.64745,                0.66388,                0.37811,                 1.4513,                 1.2808,                  1.823,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.2841,                 1.0934,                 1.5588,                0.63818,                0.62032,                0.64646,                0.34716,                  1.534,                 1.3721,                 1.9105,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.2699,                 1.0813,                 1.5489,                0.65618,                0.60783,                0.65525,                0.36917,                 1.4625,                 1.2828,                 1.8364,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.2618,                  1.078,                  1.532,                0.66044,                0.61215,                0.64693,                 0.3633,                 1.4935,                 1.3263,                 1.8519,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.2527,                 1.0762,                 1.5375,                0.65808,                0.62339,                0.66866,                 0.3743,                 1.4793,                 1.2868,                 1.8357,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.2808,                 1.0877,                 1.5656,                0.63564,                0.62605,                0.65827,                0.35686,                 1.5019,                 1.3295,                 1.8621,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.2558,                 1.0677,                 1.5224,                0.66512,                0.58201,                0.65373,                0.36592,                 1.4694,                 1.2953,                 1.8227,               0.009208,               0.009208,               0.009208
                     82,                 1.2365,                 1.0592,                 1.5109,                0.62604,                0.62531,                0.65119,                0.36929,                 1.4507,                 1.2905,                 1.7958,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.2298,                 1.0496,                 1.5054,                0.66263,                0.61032,                0.66071,                 0.3741,                 1.4822,                 1.2843,                 1.8298,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.2404,                 1.0395,                 1.5192,                0.64247,                0.62365,                 0.6632,                0.37719,                 1.4908,                 1.2857,                 1.8436,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.2564,                 1.0567,                 1.5298,                0.69633,                0.58118,                0.67265,                0.38143,                 1.4852,                  1.276,                  1.835,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.2265,                 1.0309,                 1.5048,                0.66503,                0.56369,                0.63628,                0.35332,                 1.4803,                 1.3251,                 1.8376,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.2429,                 1.0314,                 1.5105,                0.63089,                0.63474,                0.66067,                0.37769,                 1.4867,                 1.2913,                  1.838,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.2256,                 1.0266,                 1.5123,                0.66214,                0.63197,                0.66659,                0.37412,                 1.4779,                 1.2958,                 1.8433,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.2315,                 1.0278,                 1.5041,                0.64208,                0.61116,                0.64331,                0.36368,                 1.5055,                 1.3141,                 1.8446,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.2192,                 1.0212,                 1.4942,                 0.6334,                0.62722,                0.65351,                0.37035,                 1.4506,                 1.2966,                 1.8172,              0.0091189,              0.0091189,              0.0091189
