                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1468,                 3.6997,                 4.2075,                0.00236,                0.11157,                0.00146,                0.00038,                 3.9524,                 3.6688,                 4.1452,              0.0032804,              0.0032804,              0.0032804
                      2,                 4.0491,                 3.3475,                 4.1002,                0.00372,                0.18485,                0.00495,                0.00087,                 3.8565,                 3.3713,                 4.0529,              0.0066072,              0.0066072,              0.0066072
                      3,                 3.6312,                 2.9897,                 3.7281,                0.01736,                0.02664,                0.00473,                0.00113,                 3.7007,                 4.2776,                   3.68,              0.0099274,              0.0099274,              0.0099274
                      4,                   3.06,                 2.7201,                 3.2799,                0.06846,                0.06744,                0.02429,                0.00539,                 3.1717,                 3.4351,                 3.4883,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.6575,                 2.4643,                 2.8909,                 0.1488,                0.20649,                0.07958,                0.02269,                 2.7001,                 4.1737,                 3.0106,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.4137,                 2.2947,                  2.664,                0.29606,                0.33582,                0.23883,                0.08086,                 2.3351,                 2.4889,                 2.7493,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.2651,                 2.1326,                 2.5026,                0.28562,                0.28643,                 0.2217,                0.08001,                 2.2148,                 2.4087,                 2.6132,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.1892,                 2.0799,                  2.437,                 0.3055,                0.35554,                0.26235,                0.09909,                 2.1727,                 2.5994,                 2.5245,              0.0099307,              0.0099307,              0.0099307
                      9,                  2.101,                 2.0118,                 2.3471,                0.39511,                0.41552,                0.34614,                0.14348,                 2.0755,                 2.3087,                 2.4759,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.0302,                 1.9383,                 2.2771,                0.41174,                0.42048,                0.37303,                0.15188,                 1.9857,                 2.0583,                 2.3951,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.9496,                 1.8707,                 2.2171,                0.40778,                0.43172,                0.37088,                0.15227,                 2.0439,                 2.2466,                 2.4249,               0.009901,               0.009901,               0.009901
                     12,                 1.9133,                 1.8399,                 2.1714,                0.42107,                0.45296,                0.41265,                0.18731,                 1.9219,                 1.9467,                   2.33,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.9069,                  1.807,                 2.1559,                0.46023,                0.45578,                0.42903,                0.19603,                  1.879,                   1.88,                  2.251,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.8591,                 1.7865,                 2.1204,                0.48252,                0.49709,                0.45542,                0.20854,                 1.8203,                 1.9218,                 2.2289,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.8205,                 1.7621,                 2.0884,                0.48516,                0.48709,                0.47419,                0.22132,                 1.8251,                 1.8512,                 2.1938,              0.0098614,              0.0098614,              0.0098614
                     16,                  1.804,                  1.739,                 2.0519,                0.47517,                 0.4771,                0.46112,                0.21487,                 1.8599,                 1.8603,                 2.2311,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.7958,                 1.7306,                 2.0419,                 0.4894,                0.48293,                0.47731,                0.23131,                 1.7729,                 1.8096,                 2.1506,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.7566,                 1.6948,                 2.0165,                0.52912,                0.49774,                 0.4937,                0.23244,                 1.7452,                 1.7795,                 2.1538,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.7587,                 1.6725,                 2.0053,                0.51388,                0.49555,                0.50479,                0.24671,                 1.7544,                 1.7567,                 2.1206,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.7239,                 1.6523,                 1.9662,                0.52865,                0.50791,                0.50636,                0.25401,                 1.7043,                 1.7395,                 2.0842,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.7163,                 1.6612,                 1.9765,                0.51366,                0.51374,                0.49628,                0.24512,                 1.7022,                 1.7602,                 2.0796,               0.009802,               0.009802,               0.009802
                     22,                 1.6931,                  1.612,                 1.9392,                0.51927,                0.49958,                0.50098,                0.24511,                 1.7116,                 1.7818,                  2.086,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.6789,                  1.611,                 1.9391,                0.52062,                0.51457,                 0.5069,                0.25341,                  1.658,                  1.759,                 2.0668,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.6604,                 1.5995,                 1.9246,                0.50519,                0.49625,                 0.4817,                0.24026,                  1.779,                 1.7493,                 2.1148,              0.0097723,              0.0097723,              0.0097723
                     25,                  1.662,                 1.5919,                  1.918,                0.57929,                0.50958,                0.55117,                0.28185,                 1.6845,                 1.6659,                 2.0453,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.6461,                 1.5752,                  1.896,                0.54465,                0.53979,                0.54289,                 0.2714,                 1.6947,                 1.6622,                 2.0387,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.6366,                 1.5489,                 1.8865,                0.53758,                0.51957,                0.53814,                0.27811,                 1.6451,                 1.6348,                 2.0173,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.6171,                 1.5279,                 1.8763,                0.53883,                0.53622,                0.53976,                0.28084,                 1.6334,                 1.6409,                 2.0076,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.6187,                 1.5499,                 1.8774,                0.54083,                0.55371,                0.54302,                0.28918,                 1.5922,                 1.6416,                 1.9628,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.5986,                 1.5439,                 1.8584,                0.50841,                0.54621,                0.52878,                0.27182,                 1.6597,                 1.6398,                   2.04,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.5835,                 1.5017,                 1.8299,                 0.5175,                0.55121,                0.54405,                0.28696,                 1.6072,                 1.6084,                 1.9704,               0.009703,               0.009703,               0.009703
                     32,                 1.5821,                 1.5173,                 1.8372,                0.54723,                0.53372,                0.52795,                0.27578,                 1.6522,                 1.6125,                 1.9973,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.5725,                  1.485,                 1.8154,                 0.4891,                0.50291,                0.48244,                0.23349,                 1.7088,                 1.7954,                 2.0888,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.5715,                 1.4866,                 1.8331,                0.52267,                0.57452,                0.53928,                0.27045,                 1.6046,                 1.6143,                 1.9681,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.5644,                 1.4602,                 1.8119,                0.54521,                 0.5562,                0.55765,                 0.2952,                 1.5916,                 1.5853,                 1.9526,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.5517,                 1.4897,                 1.8089,                0.58185,                0.53372,                0.57335,                0.30032,                 1.5965,                 1.5635,                 1.9379,              0.0096535,              0.0096535,              0.0096535
