                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1189,                 3.6085,                 4.2015,                0.00223,                0.10491,                0.00161,                0.00038,                 3.9537,                 3.6773,                 4.1672,              0.0032804,              0.0032804,              0.0032804
                      2,                 4.0822,                 3.5622,                 4.1966,                 0.0036,                0.17902,                 0.0023,                0.00054,                 3.9407,                 3.5663,                 4.1694,              0.0066072,              0.0066072,              0.0066072
                      3,                 4.0333,                 3.3752,                 4.1499,                0.00325,                 0.1174,                0.00192,                0.00046,                 4.5059,                    inf,                 154.02,              0.0099274,              0.0099274,              0.0099274
                      4,                 3.7143,                 3.1522,                  3.861,                0.00402,                0.03247,                 0.0021,                0.00053,                 3.5201,                   19.8,                 7.1295,              0.0099703,              0.0099703,              0.0099703
                      5,                 3.2236,                 2.9539,                 3.3702,                0.01502,                0.09742,                0.00706,                0.00192,                 3.2778,                 14.297,                 3.9761,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.8728,                 2.7465,                 3.0359,                0.05814,                0.12823,                0.02985,                 0.0077,                 3.0209,                 3.2497,                 3.2551,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.6596,                 2.5661,                 2.7927,                0.18711,                0.20412,                   0.11,                0.03211,                 2.6083,                 2.8208,                  2.822,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.5158,                 2.4619,                 2.6703,                0.15417,                0.25562,                0.09827,                0.02931,                 2.5135,                 2.8431,                 2.7201,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.3832,                 2.3469,                  2.531,                0.28016,                0.28096,                 0.2124,                0.07615,                 2.3168,                 2.5854,                  2.591,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.2985,                 2.2765,                 2.4359,                0.26711,                0.30808,                0.20637,                0.07146,                 2.2659,                 3.0599,                  2.516,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.1762,                  2.169,                 2.3489,                0.36082,                0.34721,                0.27272,                0.09863,                 2.1838,                  2.397,                 2.4571,               0.009901,               0.009901,               0.009901
                     12,                 2.1355,                 2.0988,                 2.2786,                0.36694,                0.37719,                0.30071,                0.11649,                 2.1364,                 2.2929,                 2.3739,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.0853,                 2.0554,                 2.2321,                0.37472,                0.38218,                0.30293,                 0.1209,                 2.0253,                 2.2017,                 2.2758,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.0254,                 2.0263,                 2.1815,                0.34558,                 0.3547,                0.28672,                0.12169,                 1.9911,                 2.4882,                 2.2675,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.9793,                 1.9913,                 2.1414,                0.43775,                 0.3955,                0.35861,                0.15326,                 1.9928,                  2.125,                 2.2572,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.9728,                  1.954,                 2.0918,                0.41357,                0.37635,                0.34878,                0.14527,                 1.9742,                 2.1927,                 2.2147,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.9455,                 1.9238,                 2.0744,                0.32622,                0.37289,                0.28145,                0.12405,                 1.9787,                 2.2356,                 2.2285,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.8793,                 1.8753,                 2.0222,                0.40534,                0.39134,                0.35854,                0.15346,                 1.8858,                 2.2545,                 2.1511,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.8798,                 1.8483,                 1.9983,                0.45826,                 0.4363,                0.42054,                0.19143,                 1.8604,                 2.0316,                 2.1162,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.8247,                 1.8176,                 1.9575,                0.49555,                0.44463,                0.42329,                0.19962,                 1.8202,                 1.9692,                 2.0574,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.8074,                 1.8172,                 1.9473,                0.37917,                  0.403,                0.33241,                0.14139,                 1.9019,                 2.3308,                 2.1801,               0.009802,               0.009802,               0.009802
                     22,                 1.7821,                  1.774,                 1.9102,                0.42544,                0.41882,                0.37492,                 0.1661,                 1.9044,                 2.0447,                 2.1204,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.7643,                 1.7671,                 1.8948,                0.49464,                 0.4438,                0.45351,                0.22051,                 1.7505,                 1.8627,                 1.9852,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.7572,                  1.756,                 1.8923,                0.49546,                0.44963,                0.45433,                0.22002,                 1.7549,                 1.8654,                 1.9527,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.7405,                 1.7417,                 1.8745,                0.45177,                 0.4748,                0.43943,                0.21357,                  1.742,                 1.9385,                 1.9661,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.7205,                 1.7186,                 1.8482,                0.42734,                0.46461,                0.38565,                0.18145,                 1.7432,                 1.8884,                 2.0031,              0.0097525,              0.0097525,              0.0097525
