                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1697,                   3.71,                  4.193,                 0.0023,                0.10658,                0.00194,                0.00047,                 3.9507,                 3.6976,                 4.1453,              0.0032804,              0.0032804,              0.0032804
                      2,                 4.0457,                 3.3086,                  4.069,                0.00516,                0.25645,                0.00396,                0.00099,                 3.8418,                 3.3164,                 4.0091,              0.0066072,              0.0066072,              0.0066072
                      3,                 3.4237,                 2.9381,                  3.622,                0.06603,                0.08909,                0.02704,                0.00742,                 3.0574,                 2.9913,                 3.4322,              0.0099274,              0.0099274,              0.0099274
                      4,                 2.7992,                 2.5874,                 3.1198,                0.12996,                0.18818,                0.07567,                0.02435,                 2.6251,                 3.1293,                 3.0912,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.4934,                 2.3249,                 2.7816,                0.29139,                0.29226,                0.21716,                0.07573,                  2.416,                 3.5732,                 2.8158,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.2882,                 2.1644,                 2.5741,                0.30051,                0.31807,                0.23276,                0.08243,                 2.2302,                 2.7026,                 2.6446,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.1426,                 1.9893,                  2.395,                0.42707,                0.38968,                0.34502,                0.13513,                 2.1134,                 2.0476,                 2.4965,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.0682,                 1.9246,                  2.329,                0.28939,                0.37802,                0.25985,                0.09883,                 2.1759,                 2.5153,                  2.493,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.9662,                 1.8521,                 2.2122,                0.43394,                0.44213,                 0.3862,                0.16018,                 1.9886,                 2.0394,                 2.3489,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.9005,                 1.7836,                 2.1476,                0.42738,                0.40716,                0.35272,                0.14815,                  1.954,                 2.0021,                 2.3728,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.8121,                 1.7164,                 2.0802,                0.47809,                0.48043,                0.44443,                0.20387,                 1.8768,                 1.8934,                 2.2604,               0.009901,               0.009901,               0.009901
