                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1179,                 3.5522,                 4.2122,                0.00224,                0.11157,                0.00145,                0.00038,                 3.9347,                 3.5635,                 4.1616,              0.0032804,              0.0032804,              0.0032804
                      2,                 3.9447,                 3.3003,                 4.0599,                0.00657,                0.32639,                0.00501,                0.00121,                 3.6791,                 3.3353,                 3.9651,              0.0066072,              0.0066072,              0.0066072
                      3,                 3.4222,                 3.0524,                 3.6733,                0.01298,                0.05579,                0.00576,                 0.0016,                 3.2158,                 6.8195,                 3.7993,              0.0099274,              0.0099274,              0.0099274
                      4,                   2.98,                 2.8399,                 3.2209,                0.00791,                0.09825,                0.00481,                0.00131,                  3.546,                 3.7387,                 3.8263,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.7318,                 2.6756,                 2.9136,                0.11602,                0.17152,                0.05823,                0.01629,                 2.7349,                   2.95,                 3.0034,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.5242,                 2.5019,                 2.6844,                0.17578,                0.27027,                0.11819,                0.03692,                 2.5301,                 2.7659,                 2.7643,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.3876,                 2.3467,                 2.5268,                 0.2279,                0.32473,                0.18365,                0.06002,                 2.3444,                  2.819,                 2.5704,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.2872,                 2.2848,                 2.4422,                0.24133,                0.30142,                 0.1792,                0.05989,                 2.3873,                 3.2108,                 2.5486,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.2167,                  2.199,                 2.3502,                0.34773,                0.38218,                0.25992,                0.09448,                 2.2353,                 2.4514,                 2.4248,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.1535,                 2.1308,                 2.2821,                0.36466,                0.35986,                0.26955,                0.10217,                 2.0781,                 2.3912,                 2.3264,              0.0099109,              0.0099109,              0.0099109
                     11,                  2.065,                 2.0345,                 2.2077,                 0.4175,                0.40402,                  0.355,                0.14361,                 2.0563,                 2.1066,                   2.28,               0.009901,               0.009901,               0.009901
