                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1435,                 3.7166,                 4.2258,                0.00214,                0.10575,                0.00136,                0.00035,                  3.969,                 3.6888,                 4.1443,              0.0032804,              0.0032804,              0.0032804
                      2,                 4.1079,                 3.5257,                 4.1885,                0.00389,                0.19317,                0.00248,                0.00064,                 3.9431,                 3.5048,                 4.1545,              0.0066072,              0.0066072,              0.0066072
                      3,                 4.0315,                 3.2628,                 4.0676,                0.00437,                0.06078,                 0.0023,                0.00061,                 3.8333,                    inf,                 10.567,              0.0099274,              0.0099274,              0.0099274
                      4,                    3.6,                 3.0206,                 3.6721,                0.02895,                0.04996,                0.00962,                0.00234,                 3.5613,                  4.033,                 5.2317,              0.0099703,              0.0099703,              0.0099703
                      5,                 3.0367,                 2.7745,                 3.2467,                0.02218,                0.25895,                0.01312,                0.00386,                 3.2066,                  5.486,                 3.6023,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.7175,                  2.584,                 2.8991,                0.09657,                0.18818,                0.04659,                0.01322,                 2.7836,                 3.2548,                  3.079,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.4831,                 2.3975,                 2.6848,                0.20433,                0.31219,                0.14406,                0.04473,                 2.3924,                 3.8044,                 2.7312,              0.0099505,              0.0099505,              0.0099505
                      8,                 2.3035,                 2.2196,                 2.5226,                0.29914,                0.32223,                0.22411,                0.08132,                 2.2832,                 2.7231,                 2.6157,              0.0099406,              0.0099406,              0.0099406
                      9,                 2.1895,                 2.1007,                 2.4172,                0.30947,                0.33722,                0.22786,                0.08725,                  2.167,                  2.551,                 2.5257,              0.0099307,              0.0099307,              0.0099307
                     10,                 2.1022,                 2.0105,                 2.3385,                0.32316,                0.35554,                0.28735,                0.10741,                 2.0683,                 2.4789,                 2.4135,              0.0099208,              0.0099208,              0.0099208
                     11,                  2.002,                 1.9566,                 2.2438,                0.41203,                0.35221,                0.32648,                0.12519,                   1.99,                 2.1933,                 2.3566,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.9544,                 1.8816,                 2.1818,                 0.4583,                0.43797,                0.39868,                0.16637,                 1.9601,                 2.0233,                 2.2911,               0.009901,               0.009901,               0.009901
                     13,                 1.9042,                  1.809,                 2.1145,                0.43455,                0.40883,                0.36266,                0.14723,                 1.9688,                 2.0998,                  2.322,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.8383,                  1.771,                 2.0578,                0.52059,                 0.4438,                0.44206,                0.19166,                 1.8645,                 1.9332,                 2.2185,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.8148,                 1.7587,                 2.0486,                0.43757,                0.45129,                0.39997,                0.17339,                 1.9137,                 2.0541,                 2.2455,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.7717,                 1.6984,                  1.987,                0.42871,                0.41799,                0.38805,                0.17772,                 1.8689,                 1.9718,                 2.2037,              0.0098614,              0.0098614,              0.0098614
