                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1446,                 3.6888,                 4.1992,                0.00243,                0.12073,                0.00192,                0.00047,                 3.9525,                 3.6271,                 4.1463,              0.0032804,              0.0032804,              0.0032804
                      2,                 3.9996,                 3.2325,                 4.0785,                0.00303,                0.15071,                0.00477,                0.00088,                  3.928,                 3.3992,                 4.0927,              0.0066072,              0.0066072,              0.0066072
                      3,                 3.4339,                 2.8817,                  3.708,                0.00604,                0.17402,                0.00471,                0.00105,                 3.6593,                 3.6537,                 4.1721,              0.0099274,              0.0099274,              0.0099274
                      4,                 2.8431,                 2.5851,                 3.1664,                0.00926,                0.25729,                0.00585,                  0.002,                 3.1097,                 14.244,                 3.3625,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.5702,                 2.3587,                 2.8114,                0.19518,                0.24813,                0.11887,                0.03675,                 2.5129,                 3.3827,                 2.8568,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.3574,                 2.2325,                 2.6191,                0.23221,                0.30724,                0.19979,                0.06705,                 2.2634,                 2.9214,                 2.6563,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.2125,                 2.0627,                 2.4487,                0.34108,                0.39301,                0.27985,                0.10045,                 2.1184,                 2.1599,                 2.5275,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.1254,                 1.9971,                 2.3757,                0.40315,                0.39145,                0.35339,                0.14411,                 2.0983,                 2.0412,                  2.467,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.0443,                 1.9332,                 2.2804,                0.39308,                0.41965,                 0.3264,                0.12362,                 2.1016,                 2.2203,                 2.4661,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.9878,                 1.8733,                 2.2157,                0.44585,                0.43381,                0.38062,                0.15819,                 1.9875,                 2.0201,                 2.3904,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.8991,                 1.8256,                  2.142,                0.45457,                0.45962,                0.42084,                0.18559,                 1.9156,                 1.9076,                 2.2928,               0.009901,               0.009901,               0.009901
                     12,                 1.8591,                 1.7767,                 2.0996,                 0.4621,                0.41201,                0.39299,                0.16955,                 1.9475,                 1.9827,                 2.3106,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.8637,                 1.7563,                 2.0931,                0.49363,                0.46045,                 0.4412,                0.19393,                 1.8817,                 1.8715,                 2.2547,              0.0098812,              0.0098812,              0.0098812
                     14,                  1.811,                 1.7354,                 2.0582,                0.47843,                0.48729,                0.46096,                0.21415,                 1.8186,                  1.844,                 2.1988,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.7784,                 1.7131,                 2.0336,                0.52678,                 0.4653,                 0.4828,                0.22984,                  1.765,                 1.8009,                 2.1435,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.7685,                 1.6856,                 1.9956,                0.53542,                0.47117,                0.47948,                0.23457,                 1.7707,                 1.7826,                  2.129,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.7368,                 1.6695,                 1.9815,                0.52064,                0.45962,                0.46426,                0.22093,                 1.7624,                 1.7835,                 2.1388,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.7059,                 1.6395,                  1.958,                0.51009,                0.50958,                0.49402,                0.23188,                 1.7643,                 1.7833,                 2.1488,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.7098,                 1.6253,                 1.9468,                0.53543,                0.48293,                0.50275,                0.25187,                 1.7207,                 1.7252,                 2.0901,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.6805,                  1.606,                 1.9124,                0.55517,                0.51124,                0.52432,                0.25369,                 1.7015,                 1.7058,                 2.0602,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.6699,                    1.6,                 1.9146,                 0.5325,                0.51457,                0.52829,                0.25771,                 1.6898,                 1.6785,                 2.0402,               0.009802,               0.009802,               0.009802
                     22,                 1.6435,                 1.5484,                 1.8765,                 0.5333,                0.49209,                0.52248,                0.25878,                 1.6787,                 1.7796,                 2.0237,              0.0097921,              0.0097921,              0.0097921
                     23,                  1.636,                 1.5587,                 1.8769,                0.55061,                0.52956,                0.54937,                0.28124,                 1.6412,                  1.652,                 1.9873,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.6276,                 1.5462,                 1.8681,                0.55553,                0.53596,                0.53543,                 0.2766,                 1.6296,                 1.6295,                  1.963,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.6205,                 1.5438,                 1.8604,                0.55264,                0.53039,                0.54416,                0.28533,                 1.6068,                  1.624,                 1.9574,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.6039,                  1.513,                 1.8289,                0.56111,                0.54704,                 0.5668,                0.28779,                 1.6265,                 1.6212,                 1.9583,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.5839,                 1.4898,                 1.8172,                0.54702,                0.52873,                0.53017,                 0.2768,                 1.6413,                 1.6629,                 1.9651,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.5817,                 1.4786,                 1.8183,                0.52785,                0.52873,                0.54339,                0.28445,                 1.6283,                 1.6053,                 1.9585,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.5766,                 1.4927,                 1.8218,                0.51056,                0.56619,                 0.5494,                0.28948,                 1.6138,                 1.5976,                 1.9504,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.5572,                 1.5028,                 1.7987,                0.56964,                0.52461,                0.53973,                0.27551,                 1.6339,                 1.6106,                 1.9731,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.5437,                  1.446,                 1.7707,                0.54384,                 0.5698,                 0.5537,                0.29422,                 1.5728,                 1.5998,                 1.9066,               0.009703,               0.009703,               0.009703
                     32,                 1.5438,                 1.4628,                 1.7813,                0.42983,                0.47211,                0.42029,                0.21415,                 1.7493,                 1.8092,                 2.0602,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.5305,                 1.4322,                 1.7536,                0.56901,                0.54634,                0.57023,                0.30308,                 1.6097,                 1.5554,                 1.9326,              0.0096832,              0.0096832,              0.0096832
                     34,                  1.525,                 1.4405,                 1.7679,                0.57557,                0.56953,                0.56617,                0.29388,                 1.5621,                  1.555,                 1.9066,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.5201,                  1.412,                 1.7547,                0.56195,                0.53705,                0.57368,                0.31828,                 1.5673,                 1.5156,                 1.8951,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.5129,                 1.4321,                 1.7512,                0.57815,                 0.5612,                0.57371,                0.30784,                 1.5681,                 1.5345,                 1.8911,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.5078,                  1.419,                 1.7482,                0.54956,                0.55121,                0.56327,                0.30427,                 1.5608,                 1.5354,                 1.9083,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.4896,                 1.3831,                 1.7324,                0.55797,                0.57036,                0.56124,                 0.3053,                 1.5664,                 1.5103,                 1.8906,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.4997,                 1.4029,                 1.7325,                0.59295,                0.57952,                0.59525,                 0.3223,                 1.5206,                 1.5139,                 1.8482,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.4973,                 1.4015,                 1.7342,                0.58839,                0.57702,                0.59198,                0.31766,                 1.5588,                 1.5212,                  1.876,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.4849,                  1.387,                 1.7156,                0.56061,                0.58112,                0.58243,                0.32334,                 1.5465,                   1.49,                 1.8633,               0.009604,               0.009604,               0.009604
                     42,                 1.4658,                 1.3636,                 1.7065,                0.56981,                0.55787,                0.57507,                0.31181,                 1.6007,                 1.5328,                 1.8948,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.4674,                 1.3504,                 1.7036,                0.56008,                0.58727,                0.58877,                0.31913,                 1.5145,                 1.5286,                 1.8414,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.4656,                 1.3601,                 1.6931,                0.56643,                0.57535,                0.58413,                0.30458,                  1.557,                 1.5161,                  1.886,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.4543,                 1.3529,                 1.7017,                0.55454,                0.58118,                0.57454,                0.31504,                 1.5315,                 1.4971,                 1.8493,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.4601,                  1.338,                 1.6963,                 0.5575,                0.57486,                 0.5843,                0.32581,                 1.4958,                 1.4522,                 1.8124,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.4484,                 1.3285,                 1.6801,                0.57417,                0.59201,                0.60156,                0.32715,                 1.5122,                 1.4988,                 1.8361,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.4441,                 1.3222,                 1.6617,                0.56883,                0.59534,                0.59898,                0.32714,                 1.5132,                 1.4656,                 1.8394,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.4371,                 1.3271,                 1.6652,                0.56304,                0.59201,                0.60354,                0.33176,                 1.5167,                 1.4437,                 1.8319,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.4302,                 1.3253,                  1.665,                0.58333,                0.57701,                0.58984,                0.31829,                 1.5372,                 1.4434,                 1.8515,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.4297,                 1.3064,                 1.6513,                0.56227,                0.59201,                0.59115,                0.32111,                 1.5249,                 1.4688,                 1.8286,               0.009505,               0.009505,               0.009505
                     52,                 1.4311,                 1.2895,                 1.6498,                0.58737,                0.58784,                0.60764,                0.33127,                 1.4927,                 1.4271,                 1.7979,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.4058,                 1.2743,                 1.6607,                0.58343,                0.59007,                0.60923,                0.33847,                 1.5113,                 1.4357,                 1.8218,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.4211,                 1.2825,                 1.6469,                0.58513,                0.60783,                0.61119,                0.33366,                 1.4922,                 1.4677,                 1.8159,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.3997,                 1.2719,                 1.6374,                0.60277,                0.60533,                0.61286,                0.33552,                 1.5158,                 1.4211,                 1.8246,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.3846,                  1.271,                 1.6209,                0.60551,                0.58784,                0.61021,                0.33679,                 1.4921,                 1.4317,                 1.8101,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.4081,                 1.2716,                 1.6479,                0.57174,                0.59784,                0.60601,                0.33651,                 1.5235,                 1.4212,                 1.8249,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.4046,                 1.2743,                 1.6296,                  0.596,                0.58868,                0.62296,                0.34866,                  1.509,                 1.3964,                 1.8142,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.3963,                 1.2533,                 1.6203,                0.59459,                0.59472,                0.62757,                0.34963,                 1.4784,                 1.4276,                 1.7981,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.3817,                  1.253,                 1.6232,                 0.6256,                0.59686,                0.65216,                0.35872,                 1.5118,                  1.362,                 1.8117,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.3866,                 1.2503,                 1.6294,                0.59425,                0.60974,                0.63095,                0.34859,                 1.5134,                   1.39,                  1.805,               0.009406,               0.009406,               0.009406
